tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
300,0.08,1,0,455,2959,2473,1427,455,2951,2465,1436
600,0.17,1,0,455,2959,2473,1427,455,2951,2465,1436
900,0.25,1,1,455,2959,2473,1427,455,2951,2465,1436
1200,0.33,1,2,455,2959,2473,1427,455,2951,2465,1436
1500,0.42,1,2,455,2959,2473,1427,455,2951,2465,1436
1800,0.5,1,0,455,2959,2473,1427,455,2951,2465,1436
2100,0.58,1,2,455,2959,2473,1427,455,2951,2465,1436
2400,0.67,1,0,455,2959,2473,1427,455,2951,2465,1436
2700,0.75,1,0,455,2959,2473,1427,455,2951,2465,1436
3000,0.83,1,0,455,2959,2473,1427,455,2951,2465,1436
3300,0.92,1,0,455,2959,2473,1427,455,2951,2465,1436
3600,1,1,1,455,2959,2473,1427,455,2951,2465,1436
3900,1.08,1,1,455,2959,2473,1427,455,2951,2465,1436
4200,1.17,1,1,455,2959,2473,1427,455,2951,2465,1436
4500,1.25,1,1,455,2959,2473,1427,455,2951,2465,1436
4800,1.33,1,0,455,2959,2473,1427,455,2951,2465,1436
5100,1.42,1,1,455,2959,2473,1427,455,2951,2465,1436
5400,1.5,1,2,455,2959,2473,1427,455,2951,2465,1436
5700,1.58,1,0,455,2959,2473,1427,455,2951,2465,1436
6000,1.67,1,0,455,2959,2473,1427,455,2951,2465,1436
6300,1.75,1,1,455,2959,2473,1427,455,2951,2465,1436
6600,1.83,1,0,455,2959,2473,1427,455,2951,2465,1436
6900,1.92,1,0,455,2959,2473,1427,455,2951,2465,1436
7200,2,1,0,455,2959,2473,1427,455,2951,2465,1436
7500,2.08,1,1,455,2959,2473,1427,455,2951,2465,1436
7800,2.17,1,0,455,2959,2473,1427,455,2951,2465,1436
8100,2.25,1,1,455,2959,2473,1427,455,2951,2465,1436
8400,2.33,1,1,455,2959,2473,1427,455,2951,2465,1436
8700,2.42,1,2,455,2959,2473,1427,455,2951,2465,1436
9000,2.5,1,3,455,2959,2473,1427,455,2951,2465,1436
9300,2.58,1,3,455,2959,2473,1427,455,2951,2465,1436
9600,2.67,1,2,455,2959,2473,1427,455,2951,2465,1436
9900,2.75,1,3,455,2959,2473,1427,455,2951,2465,1436
10200,2.83,1,0,455,2959,2473,1427,455,2951,2465,1436
