Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_1,2621,"48.5185","41.6085","13390.5689","1877.0278","436.8333","20.9324","0.0922","68.5864","0","3347.6422",0,"2622","0","436.8333","20.9324"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_2,2622,"61.2353","58.4312","15599.873","1824.5182","437","22.4054","0.1364","63.4743","0","3899.9682",0,"2622","0","437","22.4054"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_3,2554,"69.7056","66.8406","16823.3893","1934.1902","425.6667","18.2611","0.2153","60.642","0","4205.8473",0,"2557","0","425.6667","18.2611"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_4,2593,"71.327","70.036","16704.719","993.0001","432.1667","7.0828","0.1441","60.919","0","4176.1797",0,"2594","0","432.1667","7.0828"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_5,2508,"77.6523","82.2733","16527.9784","2050.0423","418","21.429","0.2861","61.3283","0","4131.9946",0,"2510","0","418","21.429"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_6,2582,"50.8675","41.9241","13875.4105","1220.5163","430.3333","25.6411","0.076","67.4662","0","3468.8526",0,"2582","0","430.3333","25.6411"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_7,2584,"56.7825","57.8941","14477.6914","2532.3048","430.6667","13.2464","0.1677","66.0677","0","3619.4228",0,"2586","0","430.6667","13.2464"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_8,2662,"45.0049","41.9382","12611.9886","1766.1839","443.6667","27.1784","0.1225","70.3941","0","3152.9971",0,"2662","0","443.6667","27.1784"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_9,2600,"49.5162","44.9281","13449.8686","1897.4277","433.3333","17.3628","0.3752","68.4456","0","3362.4671",0,"2603","0","433.3333","17.3628"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_10,2633,"61.6798","57.6541","15702.7774","2698.0315","438.8333","13.1669","0.1074","63.2452","0","3925.6944",0,"2633","0","438.8333","13.1669"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_11,2602,"45.1906","39.8046","12397.7419","1693.8584","433.6667","37.5748","0.0426","70.8816","0","3099.4355",0,"2602","0","433.6667","37.5748"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_12,2646,"77.4407","73.0279","17890.0367","1296.0527","441","15.1526","0.0944","58.1701","0","4472.5092",0,"2646","0","441","15.1526"
"autonomy-level=0","autonomy-level=0_couriers=6_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=1_learningModel=Demand Prediction_predWeight=1_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=true_switchThresh=10",run_13,2662,"65.2239","61.3255","16283.85","2125.8555","443.6667","13.7356","0.0969","61.8873","0","4070.9625",0,"2662","0","443.6667","13.7356"
