tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
300,0.08,1,0,460,2947,2437,1368,460,2943,2423,1380
600,0.17,1,2,460,2947,2437,1368,460,2943,2423,1380
900,0.25,1,1,460,2947,2437,1368,460,2943,2423,1380
1200,0.33,1,1,460,2947,2437,1368,460,2943,2423,1380
1500,0.42,1,2,460,2947,2437,1368,460,2943,2423,1380
1800,0.5,1,2,460,2947,2437,1368,460,2943,2423,1380
2100,0.58,1,0,460,2947,2437,1368,460,2943,2423,1380
2400,0.67,1,0,460,2947,2437,1368,460,2943,2423,1380
2700,0.75,1,1,460,2947,2437,1368,460,2943,2423,1380
3000,0.83,1,0,460,2947,2437,1368,460,2943,2423,1380
3300,0.92,1,0,460,2947,2437,1368,460,2943,2423,1380
3600,1,1,0,460,2947,2437,1368,460,2943,2423,1380
3900,1.08,1,0,460,2947,2437,1368,460,2943,2423,1380
4200,1.17,1,0,460,2947,2437,1368,460,2943,2423,1380
4500,1.25,1,0,460,2947,2437,1368,460,2943,2423,1380
4800,1.33,1,2,460,2947,2437,1368,460,2943,2423,1380
5100,1.42,1,1,460,2947,2437,1368,460,2943,2423,1380
5400,1.5,1,1,460,2947,2437,1368,460,2943,2423,1380
5700,1.58,1,1,460,2947,2437,1368,460,2943,2423,1380
6000,1.67,1,2,460,2947,2437,1368,460,2943,2423,1380
6300,1.75,1,1,460,2947,2437,1368,460,2943,2423,1380
6600,1.83,1,0,460,2947,2437,1368,460,2943,2423,1380
6900,1.92,1,0,460,2947,2437,1368,460,2943,2423,1380
7200,2,1,1,460,2947,2437,1368,460,2943,2423,1380
7500,2.08,1,0,460,2947,2437,1368,460,2943,2423,1380
7800,2.17,1,1,460,2947,2437,1368,460,2943,2423,1380
8100,2.25,1,0,460,2947,2437,1368,460,2943,2423,1380
8400,2.33,1,2,460,2947,2437,1368,460,2943,2423,1380
8700,2.42,1,0,460,2947,2437,1368,460,2943,2423,1380
9000,2.5,1,0,460,2947,2437,1368,460,2943,2423,1380
9300,2.58,1,0,460,2947,2437,1368,460,2943,2423,1380
9600,2.67,1,1,460,2947,2437,1368,460,2943,2423,1380
9900,2.75,1,1,460,2947,2437,1368,460,2943,2423,1380
10200,2.83,1,2,460,2947,2437,1368,460,2943,2423,1380
10500,2.92,1,1,460,2947,2437,1368,460,2943,2423,1380
10800,3,1,0,460,2947,2437,1368,460,2943,2423,1380
11100,3.08,1,0,460,2947,2437,1368,460,2943,2423,1380
11400,3.17,1,1,460,2947,2437,1368,460,2943,2423,1380
11700,3.25,1,0,460,2947,2437,1368,460,2943,2423,1380
12000,3.33,1,0,460,2947,2437,1368,460,2943,2423,1380
12300,3.42,1,3,460,2947,2437,1368,460,2943,2423,1380
12600,3.5,1,3,460,2947,2437,1368,460,2943,2423,1380
12900,3.58,1,0,460,2947,2437,1368,460,2943,2423,1380
13200,3.67,1,1,460,2947,2437,1368,460,2943,2423,1380
13500,3.75,1,0,460,2947,2437,1368,460,2943,2423,1380
13800,3.83,1,0,460,2947,2437,1368,460,2943,2423,1380
14100,3.92,1,0,460,2947,2437,1368,460,2943,2423,1380
14400,4,1,2,460,2947,2437,1368,460,2943,2423,1380
14700,4.08,1,1,460,2947,2437,1368,460,2943,2423,1380
15000,4.17,1,0,460,2947,2437,1368,460,2943,2423,1380
15300,4.25,1,3,460,2947,2437,1368,460,2943,2423,1380
15600,4.33,1,0,460,2947,2437,1368,460,2943,2423,1380
15900,4.42,1,0,460,2947,2437,1368,460,2943,2423,1380
16200,4.5,1,1,460,2947,2437,1368,460,2943,2423,1380
16500,4.58,1,0,460,2947,2437,1368,460,2943,2423,1380
16800,4.67,1,1,460,2947,2437,1368,460,2943,2423,1380
17100,4.75,1,0,460,2947,2437,1368,460,2943,2423,1380
17400,4.83,1,1,460,2947,2437,1368,460,2943,2423,1380
17700,4.92,1,0,460,2947,2437,1368,460,2943,2423,1380
18000,5,1,2,460,2947,2437,1368,460,2943,2423,1380
