Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_1,2576,"47.5765","46.5061","13088.1555","2398.0981","429.3333","23.9639","0.2059","69.287","0","3272.0389",0,"2577","0","429.3333","23.9639"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_2,2610,"59.8257","50.9277","15435.5421","1401.3873","435","23.0217","0.142","63.8605","0","3858.8855",0,"2610","0","435","23.0217"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_3,2648,"72.2406","63.9032","17286.2017","1444.8536","441.3333","30.5919","0.0701","59.5613","0","4321.5504",0,"2649","0","441.3333","30.5919"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_4,2589,"70.1058","63.2507","16759.8398","1283.3023","431.5","18.6949","0.0378","60.7849","0","4189.9599",0,"2590","0","431.5","18.6949"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_5,2605,"71.871","67.91","17184.736","1417.264","434.1667","20.8463","0.0468","59.8071","0","4296.184",0,"2605","0","434.1667","20.8463"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_6,2600,"52.8","45.9341","13967.922","1216.7428","433.3333","20.3437","0.2244","67.2442","0","3491.9805",0,"2602","0","433.3333","20.3437"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_7,2610,"53.8831","48.4482","14282.5881","2066.2584","435","16.8879","0.1","66.533","0","3570.647",0,"2610","0","435","16.8879"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_8,2590,"45.1907","38.2704","12516.3238","1367.1496","431.6667","17.8512","0.0748","70.6128","0","3129.0809",0,"2591","0","431.6667","17.8512"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_9,2638,"50.1922","41.9392","13728.6953","1780.3101","439.6667","19.9064","0.1001","67.7826","0","3432.1738",0,"2639","0","439.6667","19.9064"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_10,2640,"59.5674","53.6695","15511.1936","2112.1983","440","25.0918","0.1763","63.6688","0","3877.7984",0,"2641","0","440","25.0918"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_11,2666,"44.623","37.2205","12827.2644","1350.4463","444.3333","10.7641","0.0338","69.8852","0","3206.8161",0,"2667","0","444.3333","10.7641"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_12,2643,"80.286","79.3448","18228.7941","2401.7092","440.5","33.709","0.0058","57.3895","0","4557.1985",0,"2643","0","440.5","33.709"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_13,2579,"63.9546","59.1136","15820.2724","2394.6995","429.8333","14.8918","0.2487","62.9792","0","3955.0681",0,"2579","0","429.8333","14.8918"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_14,2560,"52.9309","49.1918","13757.176","1434.9873","426.6667","18.1071","0.1839","67.7442","0","3439.294",0,"2561","0","426.6667","18.1071"
"autonomy-level=0_cooperativeness-level=0","autonomy-level=0_cooperativeness-level=0_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_15,2570,"55.4588","47.596","14568.6434","1508.8247","428.3333","16.7292","0.0621","65.8594","0","3642.1608",0,"2571","0","428.3333","16.7292"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_1,2576,"47.5765","46.5061","13088.1555","2398.0981","429.3333","23.9639","0.2059","69.287","0","3272.0389",0,"2577","0","429.3333","23.9639"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_2,2610,"59.8257","50.9277","15435.5421","1401.3873","435","23.0217","0.142","63.8605","0","3858.8855",0,"2610","0","435","23.0217"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_3,2648,"72.2406","63.9032","17286.2017","1444.8536","441.3333","30.5919","0.0701","59.5613","0","4321.5504",0,"2649","0","441.3333","30.5919"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_4,2589,"70.1058","63.2507","16759.8398","1283.3023","431.5","18.6949","0.0378","60.7849","0","4189.9599",0,"2590","0","431.5","18.6949"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_5,2605,"71.871","67.91","17184.736","1417.264","434.1667","20.8463","0.0468","59.8071","0","4296.184",0,"2605","0","434.1667","20.8463"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_6,2600,"52.8","45.9341","13967.922","1216.7428","433.3333","20.3437","0.2244","67.2442","0","3491.9805",0,"2602","0","433.3333","20.3437"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_7,2610,"53.8831","48.4482","14282.5881","2066.2584","435","16.8879","0.1","66.533","0","3570.647",0,"2610","0","435","16.8879"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_8,2590,"45.1907","38.2704","12516.3238","1367.1496","431.6667","17.8512","0.0748","70.6128","0","3129.0809",0,"2591","0","431.6667","17.8512"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_9,2638,"50.1922","41.9392","13728.6953","1780.3101","439.6667","19.9064","0.1001","67.7826","0","3432.1738",0,"2639","0","439.6667","19.9064"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_10,2640,"59.5674","53.6695","15511.1936","2112.1983","440","25.0918","0.1763","63.6688","0","3877.7984",0,"2641","0","440","25.0918"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_11,2666,"44.623","37.2205","12827.2644","1350.4463","444.3333","10.7641","0.0338","69.8852","0","3206.8161",0,"2667","0","444.3333","10.7641"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_12,2643,"80.286","79.3448","18228.7941","2401.7092","440.5","33.709","0.0058","57.3895","0","4557.1985",0,"2643","0","440.5","33.709"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_13,2579,"63.9546","59.1136","15820.2724","2394.6995","429.8333","14.8918","0.2487","62.9792","0","3955.0681",0,"2579","0","429.8333","14.8918"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_14,2560,"52.9309","49.1918","13757.176","1434.9873","426.6667","18.1071","0.1839","67.7442","0","3439.294",0,"2561","0","426.6667","18.1071"
"autonomy-level=0_cooperativeness-level=1","autonomy-level=0_cooperativeness-level=1_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_15,2570,"55.4588","47.596","14568.6434","1508.8247","428.3333","16.7292","0.0621","65.8594","0","3642.1608",0,"2571","0","428.3333","16.7292"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_1,2564,"48.8697","43.4306","13038.2645","2155.6288","427.3333","16.0582","0.2779","69.3972","0","3259.5661",0,"2566","0","427.3333","16.0582"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_2,2478,"62.4302","60.6597","14734.5993","1395.2562","413","21.1755","0.0967","65.5077","0","3683.6498",0,"2478","0","413","21.1755"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_3,2624,"74.5694","72.5939","17389.1103","1760.4734","437.3333","19.0962","0.2768","59.3185","0","4347.2776",0,"2626","0","437.3333","19.0962"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_4,2639,"73.4991","69.3189","17106.0664","860.9233","439.8333","12.1395","0.1","59.9815","0","4276.5166",0,"2639","0","439.8333","12.1395"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_5,2560,"71.1656","62.2609","16852.6001","1030.0119","426.6667","8.8919","0.1681","60.5644","0","4213.15",0,"2562","0","426.6667","8.8919"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_6,2623,"54.0679","48.658","14134.4892","1576.8905","437.1667","34.0318","0.1506","66.8729","0","3533.6223",0,"2623","0","437.1667","34.0318"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_7,2548,"54.5648","48.5978","14149.2787","2314.5847","424.6667","17.3051","0.0125","66.8439","0","3537.3197",0,"2548","0","424.6667","17.3051"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_8,2635,"46.4433","40.4413","12801.313","2375.8571","439.1667","31.0446","0.1042","69.946","0","3200.3282",0,"2636","0","439.1667","31.0446"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_9,2535,"50.6059","44.0166","13091.7592","1159.0018","422.5","23.3131","0.2859","69.2988","0","3272.9398",0,"2536","0","422.5","23.3131"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_10,2571,"60.0782","53.5979","15105.4927","2622.9478","428.5","18.1411","0.0427","64.6254","0","3776.3732",0,"2571","0","428.5","18.1411"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_11,2592,"43.4236","34.9391","12598.2755","1088.6833","432","14.0855","0.0463","70.4304","0","3149.5689",0,"2592","0","432","14.0855"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_12,2538,"73.9504","72.0818","17360.9043","1660.7964","423","16.7571","0.2001","59.4228","0","4340.2261",0,"2538","0","423","16.7571"
"autonomy-level=0_cooperativeness-level=2","autonomy-level=0_cooperativeness-level=2_couriers=3_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.6_clusters=2_restsPerCluster=3_restsClusterSize=8_oppSwitch=false_switchThresh=10",run_13,2535,"63.8489","59.7786","15564.2238","2458.8754","422.5","19.8267","0.2429","63.5498","0","3891.0559",0,"2537","0","422.5","19.8267"
