Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_1,2640,"45.1152","48.6293","13278.7189","1328.2","440","22.1269","0.3808","66.9188","0","3319.6797",0,"2642","0","440","22.1269"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_2,2738,"49.8517","46.6897","16235.5087","940.804","456.3333","14.208","0.0307","59.8657","0","4058.8772",0,"2739","0","456.3333","14.208"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_3,2523,"53.759","36.3637","16728.4371","567.5447","420.5","11.3446","0.5095","58.7805","0","4182.1093",0,"2526","0","420.5","11.3446"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_4,2620,"58.0763","56.2186","17392.7859","512.9256","436.6667","14.473","0.3381","57.7234","0","4348.1965",0,"2622","0","436.6667","14.473"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_5,2509,"56.9291","59.733","16603.0139","1528.1686","418.1667","7.2778","0.0483","59.2178","0","4150.7535",0,"2510","0","418.1667","7.2778"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_6,2578,"39.3142","17.1162","14020.0654","463.205","429.6667","19.4182","0.0475","64.7238","0","3505.0163",0,"2578","0","429.6667","19.4182"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_7,2649,"40.8339","19.1404","14457.4436","2291.4324","441.5","14.5293","0.2154","64.0874","0","3614.3609",0,"2652","0","441.5","14.5293"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_8,2691,"40.2832","37.3589","13015.2975","1484.0594","448.5","26.6064","0.2611","67.3904","0","3253.8244",0,"2693","0","448.5","26.6064"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_9,2627,"41.5885","27.5161","13539.2556","706.9746","437.8333","28.4072","0.1499","65.9167","0","3384.8139",0,"2627","0","437.8333","28.4072"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_10,2600,"51.4165","40.7595","15284.2364","1908.7749","433.3333","18.4138","0.2578","63.3995","0","3821.0591",0,"2601","0","433.3333","18.4138"
