Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_1,2640,"45.1152","48.6293","13278.7189","1328.2","440","22.1269","0.3808","66.9188","0","3319.6797",0,"2642","0","440","22.1269"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_2,2738,"49.8517","46.6897","16235.5087","940.804","456.3333","14.208","0.0307","59.8657","0","4058.8772",0,"2739","0","456.3333","14.208"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_3,2523,"53.759","36.3637","16728.4371","567.5447","420.5","11.3446","0.5095","58.7805","0","4182.1093",0,"2526","0","420.5","11.3446"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_4,2620,"58.0763","56.2186","17392.7859","512.9256","436.6667","14.473","0.3381","57.7234","0","4348.1965",0,"2622","0","436.6667","14.473"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_5,2509,"56.9291","59.733","16603.0139","1528.1686","418.1667","7.2778","0.0483","59.2178","0","4150.7535",0,"2510","0","418.1667","7.2778"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_1,2569,"44.028","36.837","13210.9189","2380.1309","428.1667","18.9675","0.0053","67.7442","0","3302.7297",0,"2569","0","428.1667","18.9675"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_2,2621,"46.8203","36.3468","15315.9067","1016.6231","436.8333","11.5138","0.2746","62.0934","0","3828.9767",0,"2624","0","436.8333","11.5138"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_3,2730,"57.1253","52.8106","18335.4644","471.7725","455","1.0954","0.1381","54.8806","0","4583.8661",0,"2731","0","455","1.0954"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_4,2586,"53.7544","49.4064","16644.1575","274.7252","431","1.5492","0.1214","59.4826","0","4161.0394",0,"2586","0","431","1.5492"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_clusters=2_restsPerCluster=3_restsClusterSize=8",run_5,2612,"56.7366","48.1074","17403.8406","802.3354","435.3333","8.6178","0.1423","57.2836","0","4350.9601",0,"2612","0","435.3333","8.6178"

