Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=3_use-memory=true_memory-fade=5","autonomy-level=3_use-memory=true_memory-fade=5_couriers=15_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_1,2588,"45.825","21.6452","5172.5337","425.9506","172.5333","15.0848","0.0808","0.8676","85.5901","3232.8336",2136,"53","40.3019","172.5333","15.0848"
"autonomy-level=3_use-memory=true_memory-fade=5","autonomy-level=3_use-memory=true_memory-fade=5_couriers=15_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_2,2512,"55.4893","28.0499","5948.9999","449.2207","167.4667","12.3165","0.1565","1.6637","83.0377","3718.125",2081,"57","36.5088","167.4667","12.3165"
"autonomy-level=3_use-memory=true_memory-fade=5","autonomy-level=3_use-memory=true_memory-fade=5_couriers=15_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_3,2556,"55.9883","28.5277","6054.0419","436.3159","170.4","10.9727","0.0771","1.0999","83.3323","3783.7762",1986,"74","26.8378","170.4","10.9727"
"autonomy-level=3_use-memory=true_memory-fade=5","autonomy-level=3_use-memory=true_memory-fade=5_couriers=15_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_4,2578,"63.1555","41.3569","6425.5668","537.1937","171.8667","9.9776","0.0458","1.1164","82.4545","4015.9793",2030,"66","30.7576","171.8667","9.9776"
"autonomy-level=3_use-memory=true_memory-fade=5","autonomy-level=3_use-memory=true_memory-fade=5_couriers=15_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_5,2559,"56.1075","28.0902","6151.2089","434.2303","170.6","10.2176","0.1069","1.0679","83.1871","3844.5056",2086,"62","33.6452","170.6","10.2176"

