Configuration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour
"autonomy-level=0",run_1,867,41.01845444059977,28.220995753226667,9311.463616945895,2699.329401056376,289,109.89085494252923,0.0019607134913545645,78.16666666666666,0,1163.932952118237
"autonomy-level=0",run_2,418,30.660287081339714,13.579480991338562,4128.465940464735,138.4657287265706,139.33333333333334,7.571877794400365,0.014066748030245085,90.30208333333334,0,516.0582425580918
"autonomy-level=0",run_3,864,49.804398148148145,35.0969513567612,10509.89082547041,3969.732846530969,288,146.42745644174798,0.29263781720294363,75.37422839506172,0,1313.7363531838012
"autonomy-level=0",run_4,1294,84.42194744976815,80.82126603235224,18114.325183323734,444.66753056588556,431.3333333333333,4.725815626252609,0.038890839421979816,57.64969135802469,0,2264.2906479154667
"autonomy-level=0",run_5,889,48.66029246344207,35.46663525880395,10562.402672726595,4026.715757032484,296.3333333333333,121.40977445549157,0.2697099979746118,75.2554012345679,0,1320.3003340908244
"autonomy-level=1",run_1,2558,118.16614542611416,180.632816690282,25961.07635661763,1857.65056573839,852.6666666666666,33.85754470326124,0.028654403939313636,35.380015432098766,0,3245.1345445772035
"autonomy-level=1",run_2,1794,68.23522853957637,75.35845085087526,19480.47372474356,483.5082063579975,598,5.5677643628300215,0.003216176075480679,50.74922839506173,0,2435.059215592945
"autonomy-level=1",run_3,2166,113.74330563250231,133.49503157050444,26421.30647893468,2520.3895638593785,722,124.90396310766124,0.5885769169576398,35.87191358024691,0,3302.663309866835
"autonomy-level=1",run_4,1313,75.92003046458493,72.30947739218408,18752.987982195682,490.78009521029696,437.6666666666667,8.020806277010642,0.30241129587033133,54.56828703703703,0,2344.1234977744602
"autonomy-level=1",run_5,1324,50.139728096676734,35.73833211962263,15570.882729448917,329.86936816263335,441.3333333333333,8.386497083606084,0.015385166349771705,62.660493827160494,0,1946.3603411811146
"autonomy-level=2",run_1,2656,235.97477409638554,283.49284397274187,27916.826938111877,743.4519030718803,885.3333333333334,26.025628394590846,0.20060814440000158,2.271219135802469,26.63966049382716,3489.6033672639846
"autonomy-level=2",run_2,2575,315.713786407767,385.1415435532047,28935.553404488834,1372.4653406843556,858.3333333333334,21.548395145191982,0.050467653528317766,2.2743055555555554,23.789737654320987,3616.944175561104
"autonomy-level=2",run_3,2612,460.41079632465545,635.9214571480178,31605.11220331036,814.8690272003194,870.6666666666666,18.876793513023692,0.26578822234059074,3.3734567901234565,18.155478395061728,3950.639025413795
"autonomy-level=2",run_4,2538,731.775413711584,836.8018721716227,31649.52605031952,463.4059787459175,846,10.535653752852738,0.5797297517944399,7.364197530864197,14.429398148148149,3956.19075628994
"autonomy-level=2",run_5,2478,467.11299435028246,566.7281537981518,29884.9907297239,432.0020449357922,826,32.60368077380221,0.32634896330675695,6.494984567901235,19.328703703703702,3735.6238412154876
"autonomy-level=3",run_1,2650,130.62641509433962,173.81877693275575,27272.414514234948,1126.0478416000276,883.3333333333334,26.652079343520896,0.27065859801805475,15.322145061728396,19.807098765432098,3409.0518142793685
"autonomy-level=3",run_2,2615,233.87533460803058,440.0770865904742,29392.4074056986,1343.7069148484984,871.6666666666666,24.193663082165404,0.5669808307398597,15.712962962962962,15.460262345679013,3674.050925712325
"autonomy-level=3",run_3,2633,226.51006456513483,412.52430341193815,31993.522987717053,2901.1586790003353,877.6666666666666,46.918368826434424,0.13777855778536002,18.150848765432098,7.118055555555555,3999.1903734646316
"autonomy-level=3",run_4,2622,986.3268497330282,2238.3868981297924,33331.7548208059,1825.972768141396,874,83.26463835266445,0.37782714086705704,18.26118827160494,8.771604938271604,4166.469352600738
"autonomy-level=3",run_5,2527,393.0138504155125,683.38421257252,30634.06319463691,1870.3588617595324,842.3333333333334,26.159765544311234,0.1851342663780548,19.705632716049383,11.443672839506174,3829.257899329614

