Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0","autonomy-level=0_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_1,2596,"33.6757","18.0143","2637.5036","390.1346","86.5333","7.9686","0.0142","93.8136","0","3296.8796",0,"2596","0","86.5333","7.9686"
"autonomy-level=0","autonomy-level=0_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_2,2575,"39.3468","21.858","3038.979","419.0194","85.8333","10.8567","0.0128","92.8829","0","3798.7237",0,"2575","0","85.8333","10.8567"
"autonomy-level=0","autonomy-level=0_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_3,2610,"39.4261","22.4182","3066.2988","603.7271","87","9.8085","4.0E-4","92.819","0","3832.8735",0,"2610","0","87","9.8085"
"autonomy-level=0","autonomy-level=0_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_4,2626,"42.7464","25.6507","3313.4867","758.1241","87.5333","8.0075","0.0239","92.2462","0","4141.8584",0,"2627","0","87.5333","8.0075"
"autonomy-level=0","autonomy-level=0_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_5,2572,"40.6023","23.6976","3082.345","400.4918","85.7333","6.9873","0.012","92.7809","0","3852.9313",0,"2573","0","85.7333","6.9873"
"autonomy-level=1","autonomy-level=1_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_1,2553,"37.4109","14.7448","2577.4549","293.6824","85.1","8.1509","0.0168","93.3423","0","3221.8186",0,"2553","0","85.1","8.1509"
"autonomy-level=1","autonomy-level=1_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_2,2607,"42.0399","18.8157","3019.2297","577.2034","86.9","10.4662","0.032","92.323","0","3774.0371",0,"2608","0","86.9","10.4662"
"autonomy-level=1","autonomy-level=1_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_3,2556,"42.9926","39.775","3026.3348","517.3378","85.2","10.8036","0.0321","92.3603","0","3782.9184",0,"2557","0","85.2","10.8036"
"autonomy-level=1","autonomy-level=1_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_4,2559,"44.88","20.329","3222.6097","706.2448","85.3","8.0608","0.0019","91.8647","0","4028.2621",0,"2560","0","85.3","8.0608"
"autonomy-level=1","autonomy-level=1_couriers=30_neighbourhood=10_jobRate=3_memory=true_memoryFade=5_fadeStrategy=Linear_coop=0_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=true_switchThresh=10",run_5,2613,"43.1125","16.7631","3158.335","503.2336","87.1","12.1778","0","92.0127","0","3947.9187",0,"2613","0","87.1","12.1778"
