tick,time_of_day,time_window,open_orders,created_window_1,created_window_2,created_window_3,created_window_4,completed_window_1,completed_window_2,completed_window_3,completed_window_4
300,0.08,1,0,476,2921,2355,1481,476,2916,2348,1488
600,0.17,1,1,476,2921,2355,1481,476,2916,2348,1488
900,0.25,1,2,476,2921,2355,1481,476,2916,2348,1488
1200,0.33,1,1,476,2921,2355,1481,476,2916,2348,1488
1500,0.42,1,0,476,2921,2355,1481,476,2916,2348,1488
1800,0.5,1,3,476,2921,2355,1481,476,2916,2348,1488
2100,0.58,1,0,476,2921,2355,1481,476,2916,2348,1488
2400,0.67,1,1,476,2921,2355,1481,476,2916,2348,1488
2700,0.75,1,0,476,2921,2355,1481,476,2916,2348,1488
3000,0.83,1,3,476,2921,2355,1481,476,2916,2348,1488
3300,0.92,1,0,476,2921,2355,1481,476,2916,2348,1488
3600,1,1,0,476,2921,2355,1481,476,2916,2348,1488
3900,1.08,1,1,476,2921,2355,1481,476,2916,2348,1488
4200,1.17,1,0,476,2921,2355,1481,476,2916,2348,1488
4500,1.25,1,0,476,2921,2355,1481,476,2916,2348,1488
4800,1.33,1,0,476,2921,2355,1481,476,2916,2348,1488
5100,1.42,1,2,476,2921,2355,1481,476,2916,2348,1488
5400,1.5,1,0,476,2921,2355,1481,476,2916,2348,1488
5700,1.58,1,0,476,2921,2355,1481,476,2916,2348,1488
6000,1.67,1,2,476,2921,2355,1481,476,2916,2348,1488
6300,1.75,1,1,476,2921,2355,1481,476,2916,2348,1488
6600,1.83,1,0,476,2921,2355,1481,476,2916,2348,1488
6900,1.92,1,0,476,2921,2355,1481,476,2916,2348,1488
7200,2,1,1,476,2921,2355,1481,476,2916,2348,1488
7500,2.08,1,0,476,2921,2355,1481,476,2916,2348,1488
7800,2.17,1,2,476,2921,2355,1481,476,2916,2348,1488
8100,2.25,1,1,476,2921,2355,1481,476,2916,2348,1488
8400,2.33,1,0,476,2921,2355,1481,476,2916,2348,1488
8700,2.42,1,0,476,2921,2355,1481,476,2916,2348,1488
9000,2.5,1,3,476,2921,2355,1481,476,2916,2348,1488
9300,2.58,1,1,476,2921,2355,1481,476,2916,2348,1488
9600,2.67,1,1,476,2921,2355,1481,476,2916,2348,1488
9900,2.75,1,0,476,2921,2355,1481,476,2916,2348,1488
10200,2.83,1,0,476,2921,2355,1481,476,2916,2348,1488
10500,2.92,1,1,476,2921,2355,1481,476,2916,2348,1488
10800,3,1,0,476,2921,2355,1481,476,2916,2348,1488
11100,3.08,1,0,476,2921,2355,1481,476,2916,2348,1488
