Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD,AvgOpenOrders,MaxOpenOrders,CreatedWindow1,CreatedWindow2,CreatedWindow3,CreatedWindow4,CompletedWindow1,CompletedWindow2,CompletedWindow3,CompletedWindow4
"autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,6990,"1092.4026","2365.1954","8337.6911","5735.5989","233","168.5684","0.1485","80.4723","0","10422.1139",0,"6995","0","233","168.5684","103.561","721","466","2925","2367","1429","466","2919","1651","1954"
"autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_2,7072,"345.9666","814.2855","8566.6406","4699.959","235.7333","127.4982","0.1405","79.9394","0","10708.3007",0,"7077","0","235.7333","127.4982","28.3171","304","434","2917","2301","1436","434","2909","2005","1724"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7193,"45.6972","20.8199","8804.5524","579.4343","239.7667","41.6866","0.1963","77.8689","0","11005.6905",0,"7201","0","239.7667","41.6866","3.8118","24","413","2992","2349","1447","413","2985","2343","1452"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_2,7103,"46.9735","23.0234","8638.2626","2310.5295","236.7667","60.52","0.0921","78.2664","0","10797.8282",0,"7106","0","236.7667","60.52","3.8641","22","445","2877","2377","1407","444","2871","2368","1420"
"autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7126,"56.4945","36.4629","8604.812","424.7382","237.5333","10.4708","0.2665","3.6309","74.2131","10756.015",5989,"1145","5.2306","237.5333","10.4708","4.5958","30","409","2967","2370","1388","409","2957","2371","1389"
"autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_2,7250,"54.2378","29.7745","8820.2318","585.7802","241.6667","13.9317","0.166","3.7128","73.5753","11025.2898",6050,"1208","5.0083","241.6667","13.9317","4.5679","28","433","3030","2390","1405","432","3027","2385","1406"
"autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7057,"55.7217","39.3326","8587.0933","613.1582","235.2333","14.5902","0.0866","2.3196","76.7027","10733.8666",4430,"152","29.1447","235.2333","14.5902","4.5017","31","404","2874","2367","1415","404","2870","2346","1437"
"autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_2,7174,"51.093","23.9428","8662.294","641.0389","239.1333","15.1538","0.1256","2.1161","76.4919","10827.8675",4648,"127","36.5984","239.1333","15.1538","4.1847","27","432","2890","2385","1473","432","2884","2376","1482"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7105,"45.6615","21.3818","8670.3257","500.3084","236.8333","49.6193","0.0778","78.253","0","10837.9071",0,"7108","0","236.8333","49.6193","3.777","20","456","2925","2336","1391","456","2919","2323","1407"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_2,7258,"47.6441","25.4646","8843.1412","2851.9959","241.9333","76.8402","0.1247","77.8098","0","11053.9265",0,"7261","0","241.9333","76.8402","3.9268","23","422","2989","2399","1451","420","2984","2396","1458"
"autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7093,"52.6526","29.3721","8621.9446","260.9185","236.4333","1.5906","0.1596","3.2511","74.6105","10777.4308",0,"1133","0","236.4333","1.5906","4.3484","22","466","2963","2295","1378","465","2958","2289","1381"
"autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_2,7099,"50.7591","23.9641","8619.8245","307.094","236.6333","1.1885","0.1501","3.6753","74.1312","10774.7806",0,"1118","0","236.6333","1.1885","4.0523","22","442","2917","2298","1446","441","2911","2288","1459"
"autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7173,"57.0329","82.3088","8762.1657","433.4941","239.1","43.9948","0.1683","76.3329","0","10952.7071",0,"7179","0","239.1","43.9948","4.8885","45","403","2939","2377","1460","403","2932","2360","1478"
