Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD,AvgOpenOrders,MaxOpenOrders,CreatedWindow1,CreatedWindow2,CreatedWindow3,CreatedWindow4,CompletedWindow1,CompletedWindow2,CompletedWindow3,CompletedWindow4,SourceFile
autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7181,198.7491,429.7555,8696.2626,4709.1266,239.3667,121.7897,0.1091,79.6406,0.0,10870.3283,0,7184,0.0,239.3667,121.7897,16.5923,186,441,2960,2379,1407,441,2951,2202,1587,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7136,46.0621,21.2877,8590.4181,1986.4171,237.8667,36.6698,0.0999,78.3313,0.0,10738.0226,0,7138,0.0,237.8667,36.6698,3.9164,27,398,2920,2407,1413,398,2918,2390,1430,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7128,51.5509,22.6303,8674.6685,741.72,237.6,18.444,0.0494,3.3588,74.3137,10843.3357,5855,1277,4.585,237.6,18.444,4.1638,24,401,2967,2319,1446,400,2964,2307,1457,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7157,50.8909,25.3589,8501.9745,585.6041,238.5667,15.4243,0.112,2.285,76.6592,10627.4681,4172,135,30.9037,238.5667,15.4243,4.115,26,428,2951,2375,1408,428,2948,2366,1415,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7171,44.4425,21.0938,8538.1453,2005.9999,239.0333,35.1268,0.1518,78.5127,0.0,10672.6816,0,7177,0.0,239.0333,35.1268,3.6829,24,408,2940,2385,1444,407,2939,2362,1463,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7160,50.2779,22.2268,8577.8878,300.1746,238.6667,2.3829,0.2454,3.1347,74.739,10722.3597,0,1220,0.0,238.6667,2.3829,4.115,22,424,2962,2396,1387,424,2960,2382,1394,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7312,47.7486,29.0383,8841.676,1856.2986,243.7333,29.8755,0.0569,76.3718,0.0,11052.095,0,7313,0.0,243.7333,29.8755,4.1498,23,435,2984,2404,1490,435,2979,2393,1505,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7289,52.3858,29.9298,8847.2153,301.4223,242.9667,3.528,0.072,1.4699,76.6627,11059.0192,0,254,0.0,242.9667,3.528,4.3101,41,427,3040,2404,1423,426,3038,2398,1427,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7348,51.4001,26.7737,8885.1628,264.9177,244.9333,2.5452,0.191,1.6407,76.3605,11106.4535,0,221,0.0,244.9333,2.5452,4.2544,21,462,2992,2389,1509,462,2988,2376,1522,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7228,52.7125,31.1461,8837.9023,321.2763,240.9333,4.0338,0.1151,1.2046,76.886,11047.3779,0,249,0.0,240.9333,4.0338,4.2997,33,476,2921,2355,1481,476,2916,2348,1488,courier_experiment_results_03-16-09.073_pm_18-Mar-2025.csv
autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7127,102.7953,237.4735,7178.5152,3729.098,237.5667,122.7492,0.0839,83.1602,0.0,8973.144,0,7130,0.0,237.5667,122.7492,8.5052,79,405,2930,2396,1399,405,2929,2319,1474,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7147,38.7528,17.4008,7263.1205,646.8523,238.2333,12.0163,0.0802,81.4506,0.0,9078.9007,0,7151,0.0,238.2333,12.0163,3.2056,18,389,2918,2407,1437,389,2911,2402,1445,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7180,43.4738,19.0313,7198.1495,320.2594,239.3333,11.9173,0.0742,2.7559,78.2225,8997.6868,6431,753,8.5405,239.3333,11.9173,3.6132,21,431,2867,2402,1484,431,2862,2392,1495,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7084,41.6381,16.6928,7072.8254,604.6367,236.1333,17.7506,0.0654,2.162,80.0134,8841.0317,4785,116,41.25,236.1333,17.7506,3.4843,22,419,2905,2328,1437,419,2900,2324,1441,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7115,37.5809,16.2316,7109.0929,357.4076,237.1667,5.3761,0.1025,81.8117,0.0,8886.3661,0,7119,0.0,237.1667,5.3761,3.0453,16,417,2926,2350,1427,416,2923,2346,1430,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7174,42.2968,17.0946,7229.1124,278.5721,239.1333,1.432,0.0875,2.9182,77.9992,9036.3905,0,689,0.0,239.1333,1.432,3.5645,19,404,2970,2335,1468,403,2965,2338,1468,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7391,58.1762,151.2883,7395.7129,347.7515,246.3667,7.6766,0.1145,79.2565,0.0,9244.6411,0,7396,0.0,246.3667,7.6766,5.0697,18,453,3053,2438,1452,453,3049,2430,1459,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7261,41.6064,16.4847,7350.7065,256.743,242.0333,1.5421,0.0829,1.7272,79.7776,9188.3831,0,180,0.0,242.0333,1.5421,3.547,20,449,2897,2379,1541,449,2896,2375,1541,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7233,40.8828,15.6916,7227.4771,224.2727,241.1,2.5778,0.0743,2.3141,79.4478,9034.3464,0,154,0.0,241.1,2.5778,3.4146,16,413,3001,2306,1517,413,3001,2298,1521,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7274,41.0843,15.6231,7318.5836,220.9937,242.4667,2.556,0.1165,1.9008,79.6159,9148.2295,0,153,0.0,242.4667,2.556,3.5122,20,423,2951,2403,1502,423,2945,2393,1513,courier_experiment_results_09-46-47.647_am_18-Mar-2025.csv
autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,6990,1092.4026,2365.1954,8337.6911,5735.5989,233.0,168.5684,0.1485,80.4723,0.0,10422.1139,0,6995,0.0,233.0,168.5684,103.561,721,466,2925,2367,1429,466,2919,1651,1954,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_2,7072,345.9666,814.2855,8566.6406,4699.959,235.7333,127.4982,0.1405,79.9394,0.0,10708.3007,0,7077,0.0,235.7333,127.4982,28.3171,304,434,2917,2301,1436,434,2909,2005,1724,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7193,45.6972,20.8199,8804.5524,579.4343,239.7667,41.6866,0.1963,77.8689,0.0,11005.6905,0,7201,0.0,239.7667,41.6866,3.8118,24,413,2992,2349,1447,413,2985,2343,1452,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_2,7103,46.9735,23.0234,8638.2626,2310.5295,236.7667,60.52,0.0921,78.2664,0.0,10797.8282,0,7106,0.0,236.7667,60.52,3.8641,22,445,2877,2377,1407,444,2871,2368,1420,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7126,56.4945,36.4629,8604.812,424.7382,237.5333,10.4708,0.2665,3.6309,74.2131,10756.015,5989,1145,5.2306,237.5333,10.4708,4.5958,30,409,2967,2370,1388,409,2957,2371,1389,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_2,7250,54.2378,29.7745,8820.2318,585.7802,241.6667,13.9317,0.166,3.7128,73.5753,11025.2898,6050,1208,5.0083,241.6667,13.9317,4.5679,28,433,3030,2390,1405,432,3027,2385,1406,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7057,55.7217,39.3326,8587.0933,613.1582,235.2333,14.5902,0.0866,2.3196,76.7027,10733.8666,4430,152,29.1447,235.2333,14.5902,4.5017,31,404,2874,2367,1415,404,2870,2346,1437,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5,autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_2,7174,51.093,23.9428,8662.294,641.0389,239.1333,15.1538,0.1256,2.1161,76.4919,10827.8675,4648,127,36.5984,239.1333,15.1538,4.1847,27,432,2890,2385,1473,432,2884,2376,1482,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7105,45.6615,21.3818,8670.3257,500.3084,236.8333,49.6193,0.0778,78.253,0.0,10837.9071,0,7108,0.0,236.8333,49.6193,3.777,20,456,2925,2336,1391,456,2919,2323,1407,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_2,7258,47.6441,25.4646,8843.1412,2851.9959,241.9333,76.8402,0.1247,77.8098,0.0,11053.9265,0,7261,0.0,241.9333,76.8402,3.9268,23,422,2989,2399,1451,420,2984,2396,1458,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7093,52.6526,29.3721,8621.9446,260.9185,236.4333,1.5906,0.1596,3.2511,74.6105,10777.4308,0,1133,0.0,236.4333,1.5906,4.3484,22,466,2963,2295,1378,465,2958,2289,1381,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_2,7099,50.7591,23.9641,8619.8245,307.094,236.6333,1.1885,0.1501,3.6753,74.1312,10774.7806,0,1118,0.0,236.6333,1.1885,4.0523,22,442,2917,2298,1446,441,2911,2288,1459,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5,autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10,run_1,7173,57.0329,82.3088,8762.1657,433.4941,239.1,43.9948,0.1683,76.3329,0.0,10952.7071,0,7179,0.0,239.1,43.9948,4.8885,45,403,2939,2377,1460,403,2932,2360,1478,courier_experiment_results_09-51-19.080_pm_18-Mar-2025.csv
